Name,Sex,Birthday,Country,Position,ImgUrl
"SCHETTINO, Antonio",M,26 Apr 1999,ITA,Position: Stroke,http://www.worldrowing.com/assets/images/ml/athletes/46967.jpg
"PAGANO, Edoardo",M,15 Dec 2004,ITA,Position: Cox,http://www.worldrowing.com/assets/images/ml/athletes/51787.jpg
"LAUTRETTE, Tristan",M,4 Nov 1998,FRA,Position: Bow,http://www.worldrowing.com/assets/images/ml/athletes/47650.jpg
"JUILLET, Etienne",M,5 Aug 1998,FRA,Position: Seat 2,http://www.worldrowing.com/assets/images/ml/athletes/46436.jpg
"DESGRIPPES, Stanislas",M,21 May 1998,FRA,Position: Seat 3,http://www.worldrowing.com/assets/images/ml/athletes/46432.jpg
"CATOUL, Esteban",M,25 Apr 1998,FRA,Position: Seat 4,http://www.worldrowing.com/assets/images/ml/athletes/46466.jpg
"RUBIO, Charlelie",M,14 Jan 1998,FRA,Position: Seat 5,http://www.worldrowing.com/assets/images/ml/athletes/49445.jpg
"GIVORT, Nathan",M,26 May 1998,FRA,Position: Seat 6,http://www.worldrowing.com/assets/images/ml/athletes/51542.jpg
"STENDER, Nicolas",M,13 Jun 1997,FRA,Position: Seat 7,http://www.worldrowing.com/assets/images/ml/athletes/51549.jpg
"RAYET, Teo",M,12 Dec 1999,FRA,Position: Stroke,http://www.worldrowing.com/assets/images/ml/athletes/49083.jpg
"CRESPY, Louis",M,20 Sep 2000,FRA,Position: Cox,http://www.worldrowing.com/assets/images/ml/athletes/49069.jpg
"YURCHENKO, Bohdan",M,25 Jun 1996,UKR,Position: Bow,http://www.worldrowing.com/assets/images/ml/athletes/50226.jpg
"FEDORENKO, Mykola",M,7 May 1999,UKR,Position: Seat 2,http://www.worldrowing.com/assets/images/ml/athletes/47692.jpg
"YEVDOKYMOV, Serhii",M,29 Apr 1996,UKR,Position: Seat 3,http://www.worldrowing.com/assets/images/ml/athletes/49793.jpg
"SYDORUK, Oleksandr",M,29 Mar 1997,UKR,Position: Seat 4,http://www.worldrowing.com/assets/images/ml/athletes/49789.jpg
"KOZODOI, Stanislav",M,11 Apr 1996,UKR,Position: Seat 5,http://www.worldrowing.com/assets/images/ml/athletes/43658.jpg
"KRAVCHENKO, Oleh",M,23 Apr 1996,UKR,Position: Seat 6,http://www.worldrowing.com/assets/images/ml/athletes/44795.jpg
"SHKLIARUK, Denys",M,3 Oct 1997,UKR,Position: Seat 7,http://www.worldrowing.com/assets/images/ml/athletes/48570.jpg
"YURCHENKO, Pavlo",M,26 Feb 1998,UKR,Position: Stroke,http://www.worldrowing.com/assets/images/ml/athletes/44797.jpg
"KONOVALIUK, Oleksandr",M,8 Jun 1996,UKR,Position: Cox,http://www.worldrowing.com/assets/images/ml/athletes/43230.jpg
"ZHELEZNOV, Evgenii",M,17 Apr 1998,RUS,Position: Bow,http://www.worldrowing.com/assets/images/ml/athletes/46994.jpg
"KUZMICHEV, Fedor",M,27 Mar 1997,RUS,Position: Seat 2,http://www.worldrowing.com/assets/images/ml/athletes/46045.jpg
"KARPOV, Nikita",M,22 Jan 1997,RUS,Position: Seat 3,http://www.worldrowing.com/assets/images/ml/athletes/46996.jpg
"SEMCHIKOV, Georgii",M,10 Jan 1997,RUS,Position: Seat 4,http://www.worldrowing.com/assets/images/ml/athletes/47000.jpg
"ZHDANOV, Daniil",M,9 Oct 1996,RUS,Position: Seat 5,http://www.worldrowing.com/assets/images/ml/athletes/46043.jpg
"SEMENIUTA, Vadim",M,6 Jul 1997,RUS,Position: Seat 6,http://www.worldrowing.com/assets/images/ml/athletes/46009.jpg
"RUDNICHENKO, Artem",M,16 Jun 1999,RUS,Position: Seat 7,http://www.worldrowing.com/assets/images/ml/athletes/49173.jpg
"KRYLOV, Grigorii",M,26 Jan 1996,RUS,Position: Stroke,http://www.worldrowing.com/assets/images/ml/athletes/46044.jpg
"TEREKHOV, Evgenii",M,7 Sep 1996,RUS,Position: Cox,http://www.worldrowing.com/assets/images/ml/athletes/44565.jpg
"ALEKSANDROWICZ, Jakub",M,12 May 1998,POL,Position: Bow,http://www.worldrowing.com/assets/images/ml/athletes/47841.jpg
"JANASIK, Jan",M,9 Sep 1996,POL,Position: Seat 2,http://www.worldrowing.com/assets/images/ml/athletes/45771.jpg
"JANKOWSKI, Jakub",M,15 Jul 1996,POL,Position: Seat 3,http://www.worldrowing.com/assets/images/ml/athletes/45772.jpg
"DONARSKI, Bartlomiej",M,7 Oct 1998,POL,Position: Seat 4,http://www.worldrowing.com/assets/images/ml/athletes/47840.jpg
"ZUCHOWSKI, Filip",M,28 Jul 1997,POL,Position: Seat 5,http://www.worldrowing.com/assets/images/ml/athletes/51827.jpg
"LESZCZYNSKI, Bartosz",M,24 Jun 1996,POL,Position: Seat 6,http://www.worldrowing.com/assets/images/ml/athletes/49893.jpg
"MALINOWSKI, Olaf",M,17 Jul 1996,POL,Position: Seat 7,http://www.worldrowing.com/assets/images/ml/athletes/48750.jpg
"PRZEKOPSKI, Patryk",M,19 Oct 1996,POL,Position: Stroke,http://www.worldrowing.com/assets/images/ml/athletes/45782.jpg
"KOMAKOWSKI, Bartosz",M,29 Nov 2000,POL,Position: Cox,http://www.worldrowing.com/assets/images/ml/athletes/48748.jpg
